2020zip5,Town_FIPS_22,Town_Name
06762,914046940,Middlebury
06763,916049460,Morris
06770,914049950,Naugatuck
06776,919052630,New Milford
06777,916079720,Washington
06778,916043370,Litchfield
06779,914080490,Watertown
06782,914060750,Plymouth
06783,916065930,Roxbury
06784,919068310,Sherman
06785,916040290,Kent
06786,914060750,Plymouth
06787,914075730,Thomaston
06790,916076570,Torrington
06791,916037280,Harwinton
06793,916079720,Washington
06794,916079720,Washington
06795,914080490,Watertown
06796,916017240,Cornwall
06798,914087910,Woodbury
06801,919004720,Bethel
06804,919008980,Brookfield
06807,919033620,Greenwich
06810,919018500,Danbury
06811,919018500,Danbury
06812,919050860,New Fairfield
06820,919018850,Darien
06824,912026620,Fairfield
06825,912026620,Fairfield
06830,919033620,Greenwich
06831,919033620,Greenwich
06840,919050580,New Canaan
06850,919056060,Norwalk
06851,919056060,Norwalk
06853,919056060,Norwalk
06854,919056060,Norwalk
06855,919056060,Norwalk
06870,919033620,Greenwich
06877,919063970,Ridgefield
06878,919033620,Greenwich
06880,919083500,Westport
06883,919083430,Weston
06890,912026620,Fairfield
06896,919063480,Redding
06897,919086370,Wilton
06901,919073070,Stamford
06902,919073070,Stamford
06903,919073070,Stamford
06905,919073070,Stamford
06906,919073070,Stamford
06907,919073070,Stamford
